Number,Type,ID
9175040,<Blocks>,
8606856,Air,(0:0)
198764,Stone,(1:0)
3478,Granite,(1:1)
3115,Diorite,(1:3)
3104,Andesite,(1:5)
3584,Polished Andesite,(1:6)
54292,Grass Block,(2:0)
135489,Dirt,(3:0)
407,Coarse,(3:1)
3059,Cobblestone,(4:0)
1829,Oak Wood Planks,(5:0)
696,Spruce Wood Planks,(5:1)
353,Birch Wood Planks,(5:2)
36,Jungle Wood Planks,(5:3)
194,Dark Oak Wood Planks,(5:5)
1,Jungle Sapling (Stage 0),(6:3)
1,Spruce Sapling (Stage 1),(6:9)
1,Jungle Sapling (Stage 1),(6:11)
35840,Bedrock,(7:0)
9617,"Water (Still, Level 7 (Source))",(9:0)
99,"Water (Still, Level 6)",(9:1)
28,"Water (Still, Level 5)",(9:2)
20,"Water (Still, Level 4)",(9:3)
11,"Water (Still, Level 3)",(9:4)
4,"Water (Still, Level 2)",(9:5)
3,"Water (Still, Level 1)",(9:6)
2,"Water (Still, Level 0)",(9:7)
368,"Water (Still, Level 15)",(9:8)
99,"Water (Still, Level 14)",(9:9)
39,"Water (Still, Level 13)",(9:10)
4,"Water (Still, Level 12)",(9:11)
6,"Water (Still, Level 11)",(9:12)
4,"Water (Still, Level 10)",(9:13)
3,"Water (Still, Level 9)",(9:14)
2,"Water (Still, Level 8)",(9:15)
53,"Lava (Still, Level 7 (Source))",(11:0)
14,"Lava (Still, Level 5)",(11:2)
9,"Lava (Still, Level 3)",(11:4)
1,"Lava (Still, Level 1)",(11:6)
16,"Lava (Still, Level 15)",(11:8)
8,"Lava (Still, Level 13)",(11:10)
7,"Lava (Still, Level 11)",(11:12)
1,"Lava (Still, Level 9)",(11:14)
2296,Sand,(12:0)
2617,Gravel,(13:0)
150,Iron Ore,(15:0)
951,Coal Ore,(16:0)
5672,Oak Wood (Upright),(17:0)
6,Spruce Wood (Upright),(17:1)
345,Birch Wood (Upright),(17:2)
4830,Jungle Wood (Upright),(17:3)
1202,Oak Wood (East/West),(17:4)
59,Spruce Wood (East/West),(17:5)
1251,Oak Wood (North/South),(17:8)
20379,Oak Leaves (Decay after Tree Update),(18:0)
34,Spruce Leaves (Decay after Tree Update),(18:1)
2856,Birch Leaves (Decay after Tree Update),(18:2)
15229,Jungle Leaves (Decay after Tree Update),(18:3)
8,Oak Leaves (No Decay),(18:4)
276,"Oak Leaves (No Decay, Unused)",(18:12)
4,"Birch Leaves (No Decay, Unused)",(18:14)
46,"Jungle Leaves (No Decay, Unused)",(18:15)
60,Glass,(20:0)
1,Lapis Lazuli Block,(22:0)
2,"Dispenser (Off, Down)",(23:0)
19,"Dispenser (Off, Up)",(23:1)
9,"Dispenser (Off, North)",(23:2)
5,"Dispenser (Off, South)",(23:3)
5,"Dispenser (Off, West)",(23:4)
5,"Dispenser (Off, East)",(23:5)
3,"Dispenser (On, Up)",(23:9)
217,Sandstone,(24:0)
7,Note Block,(25:0)
1,Bed (Foot),(26:0)
1,Bed (Foot),(26:2)
5,Bed (Foot),(26:3)
1,Bed (Head),(26:8)
1,Bed (Head),(26:10)
5,Bed (Head),(26:11)
6,Sticky Piston (Down),(29:0)
7,Sticky Piston (Up),(29:1)
2,Sticky Piston (South),(29:3)
2,Sticky Piston (West),(29:4)
2,Sticky Piston (East),(29:5)
6,"Sticky Piston (Extended, Down)",(29:8)
16,"Sticky Piston (Extended, Up)",(29:9)
5,"Sticky Piston (Extended, North)",(29:10)
5,"Sticky Piston (Extended, South)",(29:11)
20,"Sticky Piston (Extended, West)",(29:12)
50,"Sticky Piston (Extended, East)",(29:13)
279,Cobweb,(30:0)
2024,Grass,(31:1)
24,Fern,(31:2)
13,Piston (Up),(33:1)
1,Piston (North),(33:2)
2,Piston (South),(33:3)
2,Piston (West),(33:4)
1,Piston (East),(33:5)
2,"Piston (Extended, North)",(33:10)
1,"Piston (Extended, South)",(33:11)
1,"Piston (Extended, West)",(33:12)
2,"Piston (Extended, East)",(33:13)
2,Piston Head (North),(34:2)
1,Piston Head (South),(34:3)
1,Piston Head (West),(34:4)
2,Piston Head (East),(34:5)
6,"Piston Head (Sticky, Down)",(34:8)
16,"Piston Head (Sticky, Up)",(34:9)
5,"Piston Head (Sticky, North)",(34:10)
5,"Piston Head (Sticky, South)",(34:11)
20,"Piston Head (Sticky, West)",(34:12)
50,"Piston Head (Sticky, East)",(34:13)
31,Lime Wool,(35:5)
27,Cyan Wool,(35:9)
2,Green Wool,(35:13)
37,Red Wool,(35:14)
39,Black Wool,(35:15)
81,Dandelion,(37:0)
39,Poppy,(38:0)
1,Blue Orchid,(38:1)
1,Allium,(38:2)
25,Azure Bluet,(38:3)
1,Red Tulip,(38:4)
1,Orange Tulip,(38:5)
1,Pink Tulip,(38:7)
20,Oxeye Daisy,(38:8)
5,Mushroom (Red),(40:0)
21,Block of Gold,(41:0)
417,Block of Iron,(42:0)
9,Cobblestone Double Slab (Seamed),(43:3)
889,Stone Slab (Bottom),(44:0)
8,Cobblestone Slab (Bottom),(44:3)
52,Stone Brick Slab (Bottom),(44:5)
233,Stone Slab (Top),(44:8)
59,Cobblestone Slab (Top),(44:11)
31,Stone Brick Slab (Top),(44:13)
8,Bricks,(45:0)
309,Bookshelf,(47:0)
116,Moss Stone,(48:0)
125,Obsidian,(49:0)
35,Torch (East),(50:1)
33,Torch (West),(50:2)
37,Torch (South),(50:3)
32,Torch (North),(50:4)
41,Torch (Up),(50:5)
285,"Oak Wood Stairs (Bottom, East)",(53:0)
258,"Oak Wood Stairs (Bottom, West)",(53:1)
359,"Oak Wood Stairs (Bottom, South)",(53:2)
340,"Oak Wood Stairs (Bottom, North)",(53:3)
80,"Oak Wood Stairs (Top, East)",(53:4)
67,"Oak Wood Stairs (Top, West)",(53:5)
93,"Oak Wood Stairs (Top, South)",(53:6)
84,"Oak Wood Stairs (Top, North)",(53:7)
5,Chest (North),(54:2)
5,Chest (South),(54:3)
12,Chest (West),(54:4)
9,Chest (East),(54:5)
685,Redstone Dust (Power 0),(55:0)
19,Redstone Dust (Power 1),(55:1)
14,Redstone Dust (Power 2),(55:2)
20,Redstone Dust (Power 3),(55:3)
22,Redstone Dust (Power 4),(55:4)
26,Redstone Dust (Power 5),(55:5)
28,Redstone Dust (Power 6),(55:6)
34,Redstone Dust (Power 7),(55:7)
40,Redstone Dust (Power 8),(55:8)
46,Redstone Dust (Power 9),(55:9)
50,Redstone Dust (Power 10),(55:10)
58,Redstone Dust (Power 11),(55:11)
68,Redstone Dust (Power 12),(55:12)
68,Redstone Dust (Power 13),(55:13)
78,Redstone Dust (Power 14),(55:14)
84,Redstone Dust (Power 15),(55:15)
5,Block of Diamond,(57:0)
14,Crafting Table,(58:0)
2,Furnace (North),(61:2)
11,Furnace (West),(61:4)
2,"Oak Door (Lower, Unopened, West)",(64:2)
4,"Oak Door (Lower, Opened, West)",(64:6)
3,"Oak Door (Upper, Left Hinge, Unpowered)",(64:8)
3,"Oak Door (Upper, Right Hinge, Unpowered)",(64:9)
7,Ladder (North),(65:2)
5,Ladder (South),(65:3)
3,Ladder (West),(65:4)
43,Ladder (East),(65:5)
3,Rail (North/South),(66:0)
185,"Cobblestone Stairs (Bottom, East)",(67:0)
123,"Cobblestone Stairs (Bottom, West)",(67:1)
151,"Cobblestone Stairs (Bottom, South)",(67:2)
183,"Cobblestone Stairs (Bottom, North)",(67:3)
98,"Cobblestone Stairs (Top, East)",(67:4)
88,"Cobblestone Stairs (Top, West)",(67:5)
44,"Cobblestone Stairs (Top, South)",(67:6)
37,"Cobblestone Stairs (Top, North)",(67:7)
2,Wall Sign (South),(68:3)
1,Wall Sign (West),(68:4)
7,Lever (East),(69:1)
1,Lever (West),(69:2)
2,Lever (Up_z),(69:5)
1,Lever (Up_x),(69:6)
1,"Lever (Powered, Down_x)",(69:8)
2,"Lever (Powered, East)",(69:9)
3,"Lever (Powered, West)",(69:10)
2,"Lever (Powered, South)",(69:11)
3,"Lever (Powered, North)",(69:12)
1,"Lever (Powered, Up_x)",(69:14)
28,Stone Pressure Plate,(70:0)
6,"Iron Door (Lower, Unopened, East)",(71:0)
