Number,Type,ID
78643200,<Blocks>,
72413009,Air,(0:0)
1514,Future Block!,(0:1)
8010,Future Block!,(0:2)
318,Future Block!,(0:3)
220,Future Block!,(0:4)
341,Future Block!,(0:5)
364,Future Block!,(0:6)
56,Future Block!,(0:7)
248,Future Block!,(0:8)
165,Future Block!,(0:9)
13,Future Block!,(0:11)
482,Future Block!,(0:12)
777,Future Block!,(0:13)
168,Future Block!,(0:14)
3,Future Block!,(0:15)
2343872,Stone,(1:0)
1954,Granite,(1:1)
79,Polished Granite,(1:2)
1339,Diorite,(1:3)
488,Polished Diorite,(1:4)
1771,Andesite,(1:5)
42467,Polished Andesite,(1:6)
6,Future Block!,(1:7)
25,Future Block!,(1:8)
6,Future Block!,(1:13)
311899,Grass Block,(2:0)
816,Future Block!,(2:1)
3,Future Block!,(2:2)
12,Future Block!,(2:3)
17,Future Block!,(2:4)
14,Future Block!,(2:5)
12,Future Block!,(2:6)
4,Future Block!,(2:7)
22,Future Block!,(2:8)
2,Future Block!,(2:9)
2,Future Block!,(2:10)
1531919,Dirt,(3:0)
5101,Coarse,(3:1)
266532,Podzol,(3:2)
3,Future Block!,(3:4)
2,Future Block!,(3:6)
2,Future Block!,(3:8)
2,Future Block!,(3:9)
40,Future Block!,(3:15)
19535,Cobblestone,(4:0)
21,Future Block!,(4:1)
3,Future Block!,(4:2)
7,Future Block!,(4:3)
1,Future Block!,(4:5)
7,Future Block!,(4:6)
3,Future Block!,(4:7)
2,Future Block!,(4:9)
1,Future Block!,(4:13)
1407,Oak Wood Planks,(5:0)
4175,Spruce Wood Planks,(5:1)
3744,Birch Wood Planks,(5:2)
63,Jungle Wood Planks,(5:3)
69,Acacia Wood Planks,(5:4)
1547,Dark Oak Wood Planks,(5:5)
6,Future Block!,(5:6)
1,Future Block!,(5:7)
2,Future Block!,(5:8)
2,Future Block!,(5:9)
2,Future Block!,(5:13)
1,Oak Sapling (Stage 1),(6:8)
308387,Bedrock,(7:0)
6,Future Block!,(7:1)
2,Future Block!,(7:4)
17335,"Water (Still, Level 7 (Source))",(9:0)
536,"Water (Still, Level 6)",(9:1)
190,"Water (Still, Level 5)",(9:2)
94,"Water (Still, Level 4)",(9:3)
62,"Water (Still, Level 3)",(9:4)
45,"Water (Still, Level 2)",(9:5)
34,"Water (Still, Level 1)",(9:6)
27,"Water (Still, Level 0)",(9:7)
2443,"Water (Still, Level 15)",(9:8)
602,"Water (Still, Level 14)",(9:9)
279,"Water (Still, Level 13)",(9:10)
49,"Water (Still, Level 12)",(9:11)
15,"Water (Still, Level 11)",(9:12)
7,"Water (Still, Level 10)",(9:13)
7,"Water (Still, Level 9)",(9:14)
12,"Water (Still, Level 8)",(9:15)
1074,"Lava (Still, Level 7 (Source))",(11:0)
186,"Lava (Still, Level 5)",(11:2)
20,"Lava (Still, Level 3)",(11:4)
13,"Lava (Still, Level 1)",(11:6)
155,"Lava (Still, Level 15)",(11:8)
477,"Lava (Still, Level 13)",(11:10)
15,"Lava (Still, Level 11)",(11:12)
6,"Lava (Still, Level 9)",(11:14)
84,Sand,(12:0)
3120,Gravel,(13:0)
56,Gold Ore,(14:0)
406,Iron Ore,(15:0)
1935,Coal Ore,(16:0)
17569,Oak Wood (Upright),(17:0)
1243,Spruce Wood (Upright),(17:1)
68,Birch Wood (Upright),(17:2)
158,Jungle Wood (Upright),(17:3)
1820,Oak Wood (East/West),(17:4)
384,Spruce Wood (East/West),(17:5)
24,Birch Wood (East/West),(17:6)
17,Jungle Wood (East/West),(17:7)
1378,Oak Wood (North/South),(17:8)
112,Spruce Wood (North/South),(17:9)
5,Jungle Wood (North/South),(17:11)
2,Oak Wood (Bark Only),(17:12)
74783,Oak Leaves (Decay after Tree Update),(18:0)
539,Birch Leaves (Decay after Tree Update),(18:2)
2788,Oak Leaves (No Decay),(18:4)
186,Spruce Leaves (No Decay),(18:5)
118,Birch Leaves (No Decay),(18:6)
4695,"Oak Leaves (No Decay, Unused)",(18:12)
180,"Spruce Leaves (No Decay, Unused)",(18:13)
97,"Birch Leaves (No Decay, Unused)",(18:14)
599,"Jungle Leaves (No Decay, Unused)",(18:15)
484,Glass,(20:0)
80,Lapis Lazuli Block,(22:0)
2,Future Block!,(22:7)
16,"Dispenser (Off, Down)",(23:0)
5,"Dispenser (Off, North)",(23:2)
2,"Dispenser (Off, South)",(23:3)
2,"Dispenser (Off, West)",(23:4)
2,"Dispenser (Off, East)",(23:5)
2303,Sandstone,(24:0)
177,Chiseled Sandstone,(24:1)
3730,Smooth Sandstone,(24:2)
18,Bed (Foot),(26:0)
