Number,Type,ID
61931520,<Blocks>,
53454726,Air,(0:0)
2511,Future Block!,(0:1)
9560,Future Block!,(0:2)
721,Future Block!,(0:3)
717,Future Block!,(0:4)
6375,Future Block!,(0:5)
563,Future Block!,(0:6)
559,Future Block!,(0:7)
258,Future Block!,(0:8)
415,Future Block!,(0:9)
49,Future Block!,(0:10)
143,Future Block!,(0:11)
157,Future Block!,(0:12)
122,Future Block!,(0:13)
180,Future Block!,(0:14)
363,Future Block!,(0:15)
3816936,Stone,(1:0)
755,Granite,(1:1)
548,Polished Granite,(1:2)
811,Diorite,(1:3)
86,Polished Diorite,(1:4)
1766,Andesite,(1:5)
118,Polished Andesite,(1:6)
360,Future Block!,(1:7)
45,Future Block!,(1:8)
107,Future Block!,(1:9)
3,Future Block!,(1:10)
6,Future Block!,(1:11)
67,Future Block!,(1:12)
12,Future Block!,(1:13)
11,Future Block!,(1:14)
118,Future Block!,(1:15)
262983,Grass Block,(2:0)
1,Future Block!,(2:1)
4,Future Block!,(2:2)
2,Future Block!,(2:4)
1,Future Block!,(2:5)
1,Future Block!,(2:6)
1,Future Block!,(2:7)
2,Future Block!,(2:8)
1,Future Block!,(2:11)
1420116,Dirt,(3:0)
2060,Coarse,(3:1)
63965,Podzol,(3:2)
89,Future Block!,(3:3)
96,Future Block!,(3:4)
541,Future Block!,(3:5)
94,Future Block!,(3:6)
245,Future Block!,(3:7)
36,Future Block!,(3:8)
93,Future Block!,(3:9)
14,Future Block!,(3:10)
10,Future Block!,(3:11)
23,Future Block!,(3:12)
14,Future Block!,(3:13)
3,Future Block!,(3:14)
60,Future Block!,(3:15)
5773,Cobblestone,(4:0)
7,Future Block!,(4:1)
5,Future Block!,(4:2)
13,Future Block!,(4:3)
5,Future Block!,(4:5)
1,Future Block!,(4:7)
1,Future Block!,(4:14)
2980,Oak Wood Planks,(5:0)
1450,Spruce Wood Planks,(5:1)
10085,Birch Wood Planks,(5:2)
10,Jungle Wood Planks,(5:3)
644,Acacia Wood Planks,(5:4)
44424,Dark Oak Wood Planks,(5:5)
1,Future Block!,(5:14)
1,Jungle Sapling (Stage 0),(6:3)
1,Oak Sapling (Stage 1),(6:8)
10,Spruce Sapling (Stage 1),(6:9)
2,Jungle Sapling (Stage 1),(6:11)
217174,Bedrock,(7:0)
4201,"Water (Still, Level 7 (Source))",(9:0)
7124,"Water (Still, Level 6)",(9:1)
2117,"Water (Still, Level 5)",(9:2)
1340,"Water (Still, Level 4)",(9:3)
996,"Water (Still, Level 3)",(9:4)
347,"Water (Still, Level 2)",(9:5)
24,"Water (Still, Level 1)",(9:6)
18,"Water (Still, Level 0)",(9:7)
3723,"Water (Still, Level 15)",(9:8)
13341,"Water (Still, Level 14)",(9:9)
1610,"Water (Still, Level 13)",(9:10)
526,"Water (Still, Level 12)",(9:11)
735,"Water (Still, Level 11)",(9:12)
