Number,Type,ID
60817408,<Blocks>,
57276195,Air,(0:0)
2325,Future Block!,(0:1)
2071,Future Block!,(0:2)
933,Future Block!,(0:3)
1380,Future Block!,(0:4)
7956,Future Block!,(0:5)
306,Future Block!,(0:6)
32204,Future Block!,(0:7)
877,Future Block!,(0:8)
660,Future Block!,(0:9)
12,Future Block!,(0:10)
253,Future Block!,(0:11)
29118,Future Block!,(0:12)
880,Future Block!,(0:13)
112,Future Block!,(0:14)
934,Future Block!,(0:15)
285064,Stone,(1:0)
68733,Granite,(1:1)
65,Polished Granite,(1:2)
28535,Diorite,(1:3)
55,Polished Diorite,(1:4)
15029,Andesite,(1:5)
279,Polished Andesite,(1:6)
21,Future Block!,(1:7)
11,Future Block!,(1:8)
7,Future Block!,(1:9)
5,Future Block!,(1:10)
3,Future Block!,(1:11)
118,Future Block!,(1:12)
11,Future Block!,(1:13)
1,Future Block!,(1:14)
2,Future Block!,(1:15)
241575,Grass Block,(2:0)
497,Future Block!,(2:1)
24,Future Block!,(2:2)
22,Future Block!,(2:3)
5,Future Block!,(2:4)
6,Future Block!,(2:5)
3,Future Block!,(2:6)
2,Future Block!,(2:8)
1,Future Block!,(2:9)
1,Future Block!,(2:13)
584791,Dirt,(3:0)
576,Coarse,(3:1)
9,Podzol,(3:2)
140,Future Block!,(3:3)
20,Future Block!,(3:4)
334,Future Block!,(3:5)
8,Future Block!,(3:6)
10,Future Block!,(3:7)
9,Future Block!,(3:9)
1,Future Block!,(3:10)
18,Future Block!,(3:13)
6625,Cobblestone,(4:0)
10,Future Block!,(4:1)
4,Future Block!,(4:2)
4,Future Block!,(4:3)
8,Future Block!,(4:4)
74,Future Block!,(4:5)
64,Future Block!,(4:12)
10,Future Block!,(4:13)
95206,Oak Wood Planks,(5:0)
134017,Spruce Wood Planks,(5:1)
9969,Birch Wood Planks,(5:2)
138,Jungle Wood Planks,(5:3)
461,Acacia Wood Planks,(5:4)
10472,Dark Oak Wood Planks,(5:5)
2,Future Block!,(5:6)
14,Future Block!,(5:7)
37,Future Block!,(5:8)
59,Future Block!,(5:12)
3,Future Block!,(5:13)
33,Oak Sapling (Stage 0),(6:0)
49,Oak Sapling (Stage 1),(6:8)
4,Birch Sapling (Stage 1),(6:10)
238118,Bedrock,(7:0)
13,Future Block!,(7:7)
4,Future Block!,(7:15)
3258,"Water (Still, Level 7 (Source))",(9:0)
86,"Water (Still, Level 6)",(9:1)
35,"Water (Still, Level 5)",(9:2)
26,"Water (Still, Level 4)",(9:3)
17,"Water (Still, Level 3)",(9:4)
42,"Water (Still, Level 2)",(9:5)
16,"Water (Still, Level 1)",(9:6)
18,"Water (Still, Level 0)",(9:7)
977,"Water (Still, Level 15)",(9:8)
120,"Water (Still, Level 14)",(9:9)
22,"Water (Still, Level 13)",(9:10)
7,"Water (Still, Level 12)",(9:11)
13,"Water (Still, Level 11)",(9:12)
68,"Lava (Still, Level 7 (Source))",(11:0)
16,"Lava (Still, Level 5)",(11:2)
11,"Lava (Still, Level 3)",(11:4)
38628,Sand,(12:0)
190,Red Sand,(12:1)
1,Future Block!,(12:9)
16754,Gravel,(13:0)
125,Future Block!,(13:1)
3,Future Block!,(13:2)
67,Future Block!,(13:3)
18,Future Block!,(13:4)
183,Future Block!,(13:5)
2,Future Block!,(13:6)
3,Future Block!,(13:7)
1,Future Block!,(13:8)
12,Future Block!,(13:9)
2,Future Block!,(13:10)
3,Future Block!,(13:11)
84,Future Block!,(13:12)
1,Future Block!,(13:13)
1,Future Block!,(13:15)
32,Gold Ore,(14:0)
1,Future Block!,(14:3)
