Number,Type,ID
64684032,<Blocks>,
55155649,Air,(0:0)
7121,Future Block!,(0:1)
14,Future Block!,(0:2)
7,Future Block!,(0:3)
926,Future Block!,(0:4)
466,Future Block!,(0:5)
155,Future Block!,(0:6)
60,Future Block!,(0:7)
840,Future Block!,(0:8)
31,Future Block!,(0:9)
3,Future Block!,(0:10)
399,Future Block!,(0:12)
2059,Future Block!,(0:14)
36,Future Block!,(0:15)
859906,Stone,(1:0)
1569,Granite,(1:1)
3,Polished Granite,(1:2)
1,Polished Diorite,(1:4)
11,Andesite,(1:5)
195,Polished Andesite,(1:6)
245050,Grass Block,(2:0)
541687,Dirt,(3:0)
63,Coarse,(3:1)
533,Cobblestone,(4:0)
763,Oak Wood Planks,(5:0)
8258,Spruce Wood Planks,(5:1)
642,Birch Wood Planks,(5:2)
423,Acacia Wood Planks,(5:4)
1578,Dark Oak Wood Planks,(5:5)
238518,Bedrock,(7:0)
4801,"Water (Still, Level 7 (Source))",(9:0)
711,"Water (Still, Level 6)",(9:1)
243,"Water (Still, Level 5)",(9:2)
110,"Water (Still, Level 4)",(9:3)
50,"Water (Still, Level 3)",(9:4)
23,"Water (Still, Level 2)",(9:5)
9,"Water (Still, Level 1)",(9:6)
6,"Water (Still, Level 0)",(9:7)
87,"Water (Still, Level 15)",(9:8)
578,"Water (Still, Level 14)",(9:9)
109,"Water (Still, Level 13)",(9:10)
44,"Water (Still, Level 12)",(9:11)
20,"Water (Still, Level 11)",(9:12)
27,"Water (Still, Level 10)",(9:13)
2,"Water (Still, Level 9)",(9:14)
3,"Water (Still, Level 8)",(9:15)
100397,Sand,(12:0)
217050,Red Sand,(12:1)
76,Gravel,(13:0)
64,Gold Ore,(14:0)
11,Iron Ore,(15:0)
106,Coal Ore,(16:0)
2360,Oak Wood (Upright),(17:0)
49,Spruce Wood (Upright),(17:1)
4,Birch Wood (Upright),(17:2)
524,Oak Wood (East/West),(17:4)
209,Oak Wood (North/South),(17:8)
32,Spruce Wood (North/South),(17:9)
5,Lapis Lazuli Ore,(21:0)
4,"Dispenser (Off, Down)",(23:0)
1,"Dispenser (Off, East)",(23:5)
80267,Sandstone,(24:0)
1,Smooth Sandstone,(24:2)
2,Bed (Foot),(26:0)
1,Bed (Head),(26:8)
2,"Powered Rail (Unpowered, Ascending, East)",(27:2)
1,"Powered Rail (Unpowered, Ascending, West)",(27:3)
1,"Powered Rail (Unpowered, Ascending, North)",(27:4)
1,"Powered Rail (Unpowered, Ascending, South)",(27:5)
2,"Detector Rail (Unpowered, North/South)",(28:0)
2,"Detector Rail (Unpowered, East/West)",(28:1)
1,Sticky Piston (Down),(29:0)
1,Sticky Piston (North),(29:2)
2,"Sticky Piston (Extended, South)",(29:11)
39,Cobweb,(30:0)
115,Dead Bush,(32:0)
38,Wool (White),(35:0)
103,Light Blue Wool,(35:3)
4,Yellow Wool,(35:4)
573,Cyan Wool,(35:9)
39,Black Wool,(35:15)
52,Block of Gold,(41:0)
30,Block of Iron,(42:0)
219,Stone Double Slab (Seamed),(43:0)
13,Cobblestone Double Slab (Seamed),(43:3)
109,Nether Brick Double Slab (Seamed),(43:6)
360,Stone Slab (Bottom),(44:0)
34,Cobblestone Slab (Bottom),(44:3)
9,Stone Brick Slab (Bottom),(44:5)
194,Nether Brick Slab (Bottom),(44:6)
172,Stone Slab (Top),(44:8)
11,Cobblestone Slab (Top),(44:11)
1,Stone Brick Slab (Top),(44:13)
141,Nether Brick Slab (Top),(44:14)
5,Quartz Slab (Top),(44:15)
172,Bricks,(45:0)
12,TNT,(46:0)
39,Bookshelf,(47:0)
41,Torch (East),(50:1)
40,Torch (West),(50:2)
52,Torch (South),(50:3)
77,Torch (North),(50:4)
107,Torch (Up),(50:5)
503,Fire (Age 0),(51:0)
45,"Oak Wood Stairs (Bottom, East)",(53:0)
58,"Oak Wood Stairs (Bottom, West)",(53:1)
39,"Oak Wood Stairs (Bottom, South)",(53:2)
35,"Oak Wood Stairs (Bottom, North)",(53:3)
10,"Oak Wood Stairs (Top, East)",(53:4)
29,"Oak Wood Stairs (Top, West)",(53:5)
19,"Oak Wood Stairs (Top, South)",(53:6)
12,"Oak Wood Stairs (Top, North)",(53:7)
1,Chest (North),(54:2)
3,Chest (South),(54:3)
4,Chest (West),(54:4)
6,Chest (East),(54:5)
47,Redstone Dust (Power 0),(55:0)
1,Redstone Dust (Power 1),(55:1)
1,Redstone Dust (Power 2),(55:2)
2,Redstone Dust (Power 3),(55:3)
2,Redstone Dust (Power 4),(55:4)
2,Redstone Dust (Power 5),(55:5)
2,Redstone Dust (Power 6),(55:6)
1,Redstone Dust (Power 7),(55:7)
1,Redstone Dust (Power 8),(55:8)
2,Redstone Dust (Power 9),(55:9)
1,Redstone Dust (Power 10),(55:10)
2,Redstone Dust (Power 11),(55:11)
2,Redstone Dust (Power 12),(55:12)
2,Redstone Dust (Power 13),(55:13)
1,Redstone Dust (Power 14),(55:14)
1,Redstone Dust (Power 15),(55:15)
90,Diamond Ore,(56:0)
3,Block of Diamond,(57:0)
10,Crafting Table,(58:0)
5,Furnace (North),(61:2)
3,Furnace (South),(61:3)
1,Furnace (West),(61:4)
1,Standing Sign (South),(63:0)
1,Standing Sign (West),(63:4)
2,"Oak Door (Lower, Unopened, East)",(64:0)
2,"Oak Door (Lower, Unopened, West)",(64:2)
1,"Oak Door (Lower, Unopened, North)",(64:3)
3,"Oak Door (Upper, Left Hinge, Unpowered)",(64:8)
2,"Oak Door (Upper, Right Hinge, Unpowered)",(64:9)
18,Ladder (North),(65:2)
36,Ladder (South),(65:3)
36,Ladder (West),(65:4)
15,Ladder (East),(65:5)
402,Rail (North/South),(66:0)
233,Rail (East/West),(66:1)
95,"Rail (Ascending, East)",(66:2)
20,"Rail (Ascending, West)",(66:3)
36,"Rail (Ascending, North)",(66:4)
20,"Rail (Ascending, South)",(66:5)
7,"Rail (Curved, South/East)",(66:6)
7,"Rail (Curved, South/West)",(66:7)
8,"Rail (Curved, North/West)",(66:8)
8,"Rail (Curved, North/East)",(66:9)
26,"Cobblestone Stairs (Bottom, East)",(67:0)
36,"Cobblestone Stairs (Bottom, West)",(67:1)
8,"Cobblestone Stairs (Bottom, South)",(67:2)
4,"Cobblestone Stairs (Bottom, North)",(67:3)
1,"Cobblestone Stairs (Top, East)",(67:4)
1,"Cobblestone Stairs (Top, West)",(67:5)
1,"Cobblestone Stairs (Top, South)",(67:6)
1,"Cobblestone Stairs (Top, North)",(67:7)
25,Wall Sign (North),(68:2)
1,Wall Sign (South),(68:3)
10,Wall Sign (West),(68:4)
6,Wall Sign (East),(68:5)
2,Lever (East),(69:1)
3,Lever (West),(69:2)
1,Lever (South),(69:3)
1,"Lever (Powered, South)",(69:11)
2,"Lever (Powered, North)",(69:12)
1,"Lever (Powered, Up_z)",(69:13)
8,Stone Pressure Plate,(70:0)
