Number,Type,ID
66060288,<Blocks>,
58595315,Air,(0:0)
439,Future Block!,(0:1)
125,Future Block!,(0:2)
335,Future Block!,(0:3)
168,Future Block!,(0:4)
395,Future Block!,(0:5)
63,Future Block!,(0:6)
142,Future Block!,(0:7)
329,Future Block!,(0:8)
140,Future Block!,(0:9)
17,Future Block!,(0:10)
24,Future Block!,(0:11)
84,Future Block!,(0:12)
26,Future Block!,(0:13)
74,Future Block!,(0:14)
110,Future Block!,(0:15)
3629172,Stone,(1:0)
27000,Granite,(1:1)
101,Polished Granite,(1:2)
27204,Diorite,(1:3)
250,Polished Diorite,(1:4)
25661,Andesite,(1:5)
2040,Polished Andesite,(1:6)
297247,Grass Block,(2:0)
1577516,Dirt,(3:0)
5885,Coarse,(3:1)
194,Podzol,(3:2)
16423,Cobblestone,(4:0)
3455,Oak Wood Planks,(5:0)
1049,Spruce Wood Planks,(5:1)
1060,Birch Wood Planks,(5:2)
1058,Jungle Wood Planks,(5:3)
1040,Acacia Wood Planks,(5:4)
26298,Dark Oak Wood Planks,(5:5)
2,Oak Sapling (Stage 1),(6:8)
4,Spruce Sapling (Stage 1),(6:9)
2,Birch Sapling (Stage 1),(6:10)
258524,Bedrock,(7:0)
15475,"Water (Still, Level 7 (Source))",(9:0)
1273,"Water (Still, Level 6)",(9:1)
531,"Water (Still, Level 5)",(9:2)
248,"Water (Still, Level 4)",(9:3)
136,"Water (Still, Level 3)",(9:4)
98,"Water (Still, Level 2)",(9:5)
73,"Water (Still, Level 1)",(9:6)
72,"Water (Still, Level 0)",(9:7)
10801,"Water (Still, Level 15)",(9:8)
2987,"Water (Still, Level 14)",(9:9)
323,"Water (Still, Level 13)",(9:10)
94,"Water (Still, Level 12)",(9:11)
85,"Water (Still, Level 11)",(9:12)
59,"Water (Still, Level 10)",(9:13)
5,"Water (Still, Level 9)",(9:14)
8,"Water (Still, Level 8)",(9:15)
4,"Lava (Still, Level 7 (Source))",(11:0)
9,"Lava (Still, Level 5)",(11:2)
5,"Lava (Still, Level 3)",(11:4)
11,"Lava (Still, Level 13)",(11:10)
12,"Lava (Still, Level 11)",(11:12)
1224,Sand,(12:0)
17181,Gravel,(13:0)
2833,Iron Ore,(15:0)
8256,Coal Ore,(16:0)
8556,Oak Wood (Upright),(17:0)
999,Spruce Wood (Upright),(17:1)
949,Birch Wood (Upright),(17:2)
106,Jungle Wood (Upright),(17:3)
1596,Oak Wood (East/West),(17:4)
216,Spruce Wood (East/West),(17:5)
50,Birch Wood (East/West),(17:6)
186,Jungle Wood (East/West),(17:7)
1075,Oak Wood (North/South),(17:8)
250,Spruce Wood (North/South),(17:9)
29,Birch Wood (North/South),(17:10)
83,Jungle Wood (North/South),(17:11)
85815,Oak Leaves (Decay after Tree Update),(18:0)
1497,Spruce Leaves (Decay after Tree Update),(18:1)
6117,Birch Leaves (Decay after Tree Update),(18:2)
159,Jungle Leaves (Decay after Tree Update),(18:3)
327,Oak Leaves (Decaying),(18:8)
37,Birch Leaves (Decaying),(18:10)
9837,"Oak Leaves (No Decay, Unused)",(18:12)
1758,"Spruce Leaves (No Decay, Unused)",(18:13)
15445,"Birch Leaves (No Decay, Unused)",(18:14)
8760,"Jungle Leaves (No Decay, Unused)",(18:15)
6,Sponge,(19:0)
337,Glass,(20:0)
847,Lapis Lazuli Block,(22:0)
2,"Dispenser (Off, North)",(23:2)
3,"Dispenser (Off, South)",(23:3)
4,"Dispenser (Off, West)",(23:4)
4,"Dispenser (Off, East)",(23:5)
1,"Dispenser (On, North)",(23:10)
190,Sandstone,(24:0)
7,Smooth Sandstone,(24:2)
5,Note Block,(25:0)
1,Bed (Foot),(26:0)
1,Bed (Foot),(26:2)
1,Bed (Head),(26:8)
1,Bed (Head),(26:10)
8,Sticky Piston (Down),(29:0)
1,Sticky Piston (South),(29:3)
779,Cobweb,(30:0)
8,Dead Bush (Drops Seeds),(31:0)
4830,Grass,(31:1)
266,Piston (Down),(33:0)
4,Piston (Up),(33:1)
15614,Wool (White),(35:0)
272,Orange Wool,(35:1)
10,Magenta Wool,(35:2)
1153,Light Blue Wool,(35:3)
76,Yellow Wool,(35:4)
424,Pink Wool,(35:6)
282,Gray Wool,(35:7)
100,Light Gray Wool,(35:8)
1283,Cyan Wool,(35:9)
324,Brown Wool,(35:12)
99,Green Wool,(35:13)
63,Red Wool,(35:14)
186,Black Wool,(35:15)
282,Dandelion,(37:0)
180,Poppy,(38:0)
23,Blue Orchid,(38:1)
20,Allium,(38:2)
188,Azure Bluet,(38:3)
49,Red Tulip,(38:4)
44,Orange Tulip,(38:5)
29,White Tulip,(38:6)
5,Pink Tulip,(38:7)
148,Oxeye Daisy,(38:8)
20,Mushroom (Red),(40:0)
1619,Block of Gold,(41:0)
30,Block of Iron,(42:0)
95,Stone Double Slab (Seamed),(43:0)
3,Sandstone Double Slab (Seamed),(43:1)
45,Cobblestone Double Slab (Seamed),(43:3)
25,Brick Double Slab (Seamed),(43:4)
428,Stone Brick Double Slab (Seamed),(43:5)
28,Nether Brick Double Slab (Seamed),(43:6)
104,Quartz Stone Double Slab (Seamed),(43:7)
158,Stone Slab (Bottom),(44:0)
12,Sandstone Slab (Bottom),(44:1)
490,Cobblestone Slab (Bottom),(44:3)
4,Brick Slab (Bottom),(44:4)
1784,Stone Brick Slab (Bottom),(44:5)
199,Nether Brick Slab (Bottom),(44:6)
748,Quartz Slab (Bottom),(44:7)
24,Stone Slab (Top),(44:8)
222,Cobblestone Slab (Top),(44:11)
375,Brick Slab (Top),(44:12)
889,Stone Brick Slab (Top),(44:13)
220,Nether Brick Slab (Top),(44:14)
844,Quartz Slab (Top),(44:15)
186,Bricks,(45:0)
334,Bookshelf,(47:0)
366,Moss Stone,(48:0)
633,Obsidian,(49:0)
135,Torch (East),(50:1)
192,Torch (West),(50:2)
177,Torch (South),(50:3)
152,Torch (North),(50:4)
146,Torch (Up),(50:5)
478,Fire (Age 0),(51:0)
58,Fire (Age 15),(51:15)
552,"Oak Wood Stairs (Bottom, East)",(53:0)
824,"Oak Wood Stairs (Bottom, West)",(53:1)
768,"Oak Wood Stairs (Bottom, South)",(53:2)
798,"Oak Wood Stairs (Bottom, North)",(53:3)
61,"Oak Wood Stairs (Top, East)",(53:4)
35,"Oak Wood Stairs (Top, West)",(53:5)
23,"Oak Wood Stairs (Top, South)",(53:6)
29,"Oak Wood Stairs (Top, North)",(53:7)
2,Chest (North),(54:2)
6,Chest (South),(54:3)
3,Chest (West),(54:4)
6,Chest (East),(54:5)
64,Redstone Dust (Power 0),(55:0)
2,Redstone Dust (Power 15),(55:15)
8554,Block of Diamond,(57:0)
6,Crafting Table,(58:0)
235,Wheat (Age 7 (Max)),(59:7)
236,"Farmland (Wet, Moisture 7)",(60:7)
3,Furnace (North),(61:2)
1,Furnace (South),(61:3)
11,Furnace (West),(61:4)
4,Furnace (East),(61:5)
24,"Oak Door (Lower, Unopened, East)",(64:0)
9,"Oak Door (Lower, Unopened, South)",(64:1)
56,"Oak Door (Lower, Unopened, West)",(64:2)
20,"Oak Door (Lower, Unopened, North)",(64:3)
1,"Oak Door (Lower, Opened, East)",(64:4)
